month_date,time_idx,deaths,year,month,series_id,fear_score_yearly_mean,fear_score_yearly_mean_lag1,feature_std,feature_lag1_std
1780-06-01,966,1520.0,1780,6,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-07-01,967,1608.0,1780,7,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-08-01,968,1235.0,1780,8,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-09-01,969,1369.0,1780,9,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-10-01,970,1934.0,1780,10,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-11-01,971,1361.0,1780,11,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1780-12-01,972,1578.0,1780,12,London,0.6737103549873128,0.6787789066632589,0.004561937467588553,0.9067714478920934
1781-01-01,974,1811.0,1781,1,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-02-01,975,1622.0,1781,2,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-03-01,975,1489.0,1781,3,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-04-01,977,1738.0,1781,4,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-05-01,978,1535.0,1781,5,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-06-01,979,1412.0,1781,6,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-07-01,980,2016.0,1781,7,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-08-01,981,1757.0,1781,8,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-09-01,982,1870.0,1781,9,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-10-01,983,2177.0,1781,10,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-11-01,984,1565.0,1781,11,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1781-12-01,985,2063.0,1781,12,London,0.6757661044597626,0.6737103549873128,0.3645132912245251,0.0197836261355163
1782-01-01,986,1323.0,1782,1,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-02-01,987,1632.0,1782,2,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-03-01,988,1748.0,1782,3,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-04-01,989,1823.0,1782,4,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-05-01,990,1326.0,1782,5,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-06-01,991,1671.0,1782,6,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-07-01,992,1781.0,1782,7,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-08-01,993,1105.0,1782,8,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-09-01,994,1392.0,1782,9,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-10-01,995,1182.0,1782,10,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-11-01,996,1236.0,1782,11,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1782-12-01,997,1709.0,1782,12,London,0.668480246494978,0.6757661044597626,-0.9112036542745511,0.37953624645483325
1783-01-01,998,1120.0,1783,1,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-02-01,999,1329.0,1783,2,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-03-01,1000,1770.0,1783,3,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
1783-04-01,1001,1440.0,1783,4,London,0.6834554257600204,0.668480246494978,1.7108746297982993,-0.8954763604958184
