week_date,time_idx,deaths,year,week_of_year,series_id,fear_score_weekly_mean,fear_score_weekly_mean_lag4w,feature_std,feature_lag_std
1708-10-15,1606,412.0,1708,42,London,0.6484072208404541,0.6577469706535339,-0.9311040986802585,-0.09217993366061498
1708-10-22,1607,388.0,1708,43,London,0.6484072208404541,0.6577469706535339,-0.9311040986802585,-0.09217993366061498
1708-10-29,1608,381.0,1708,44,London,0.6577469706535339,0.6484072208404541,-0.09345852097811004,-0.9306076817035259
1708-11-05,1609,400.0,1708,45,London,0.6577469706535339,0.6484072208404541,-0.09345852097811004,-0.9306076817035259
1708-11-12,1610,450.0,1708,46,London,0.6577469706535339,0.6484072208404541,-0.09345852097811004,-0.9306076817035259
1708-11-19,1611,402.0,1708,47,London,0.6577469706535339,0.6484072208404541,-0.09345852097811004,-0.9306076817035259
1708-11-26,1612,426.0,1708,48,London,0.6474406719207764,0.6577469706535339,-1.0177900853934148,-0.09217993366061498
1708-12-03,1613,397.0,1708,49,London,0.6474406719207764,0.6577469706535339,-1.0177900853934148,-0.09217993366061498
1708-12-10,1614,362.0,1708,50,London,0.6474406719207764,0.6577469706535339,-1.0177900853934148,-0.09217993366061498
1708-12-17,1615,407.0,1708,51,London,0.6474406719207764,0.6577469706535339,-1.0177900853934148,-0.09217993366061498
1708-12-24,1616,456.0,1708,52,London,0.6577469706535339,0.6474406719207764,-0.09345852097811004,-1.0173746134005415
1708-12-31,1617,406.0,1709,1,London,0.6577469706535339,0.6474406719207764,-0.09345852097811004,-1.0173746134005415
1709-01-07,1618,399.0,1709,2,London,0.643060028553009,0.6474406719207764,-1.41067283042816,-1.0173746134005415
1709-01-14,1619,461.0,1709,3,London,0.643060028553009,0.6474406719207764,-1.41067283042816,-1.0173746134005415
1709-01-21,1620,568.0,1709,4,London,0.643060028553009,0.6577469706535339,-1.41067283042816,-0.09217993366061498
1709-01-28,1621,514.0,1709,5,London,0.643060028553009,0.6577469706535339,-1.41067283042816,-0.09217993366061498
1709-02-04,1622,456.0,1709,6,London,0.6577469706535339,0.643060028553009,-0.09345852097811004,-1.410624221508099
1709-02-11,1623,523.0,1709,7,London,0.6577469706535339,0.643060028553009,-0.09345852097811004,-1.410624221508099
1709-02-18,1624,471.0,1709,8,London,0.6480242609977722,0.643060028553009,-0.9654502669481438,-1.410624221508099
1709-02-25,1625,417.0,1709,9,London,0.6480242609977722,0.643060028553009,-0.9654502669481438,-1.410624221508099
1709-03-04,1626,572.0,1709,10,London,0.6480242609977722,0.6577469706535339,-0.9654502669481438,-0.09217993366061498
1709-03-11,1627,498.0,1709,11,London,0.6480242609977722,0.6577469706535339,-0.9654502669481438,-0.09217993366061498
1709-03-18,1628,467.0,1709,12,London,0.6577469706535339,0.6480242609977722,-0.09345852097811004,-0.9649859214761779
1709-03-25,1629,518.0,1709,13,London,0.6577469706535339,0.6480242609977722,-0.09345852097811004,-0.9649859214761779
1709-04-01,1630,521.0,1709,14,London,0.6577469706535339,0.6480242609977722,-0.09345852097811004,-0.9649859214761779
1709-04-08,1631,510.0,1709,15,London,0.6577469706535339,0.6480242609977722,-0.09345852097811004,-0.9649859214761779
1709-04-15,1632,447.0,1709,16,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-04-22,1633,469.0,1709,17,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-04-29,1634,421.0,1709,18,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-05-06,1635,434.0,1709,19,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-05-13,1636,446.0,1709,20,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-05-20,1637,421.0,1709,21,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-05-27,1638,410.0,1709,22,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
1709-06-03,1639,434.0,1709,23,London,0.6577469706535339,0.6577469706535339,-0.09345852097811004,-0.09217993366061498
